Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
"The Siam Commercial Bank, ธนาคารไทยพาณิชย์",,", ",Kris Chantanotoke (Director & Chief Executive Officer),,"increase 168,620 million Thai baht|baht (2018) <ref name =""SET-2018"">cite web|url=https://www.set.or.th/set/companyhighlight.do?symbol=SCB&ssoPageId=5&language=en&country=US|title=SCB: THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED|website=The Stock Exchange of Thailand |access-date=21 March 2019</ref>",27000,,,,
Bharat Petroleum Corporation Limited,,", ","G Krishnakumar ,  (Chairman & Managing Director|MD)<ref>Cite web|title=Bharat Petroleum Website Board of Directors|url=https://www.bharatpetroleum.com/about-bpcl/board-of-directors.aspx</ref>","plainlist|
*Petroleum
*Natural gas
*LNG
*Lubricants
*Petrochemicals","Increase INRConvert|509227|c<ref name=pnl>Cite web|title=Bharat Petroleum Corporation Consolidated Profit & Loss account, Bharat Petroleum Corporation Financial Statement & Accounts|url=https://www.bseindia.com/xml-data/corpfiling/AttachLive/19d670fb-1dc5-43eb-bb9b-be7b60080126.pdf|access-date=2023-05-22|website=www.bseindia.com|language=en</ref>","8,506 permanent and 25,848 contractual (31 March 2024)",,,,
Compass Group plc,,", ","Ubl
| Ian Meakins (Chairman)
| Dominic Blakemore (Chief executive officer|CEO)<ref>cite web|url=https://www.compass-group.com/en/media/news/2018/dominic-blakemore.html|publisher=Compass Group|title=Dominic Blakemore|date=1 January 2018|access-date=1 January 2018|archive-url=https://web.archive.org/web/20180102203006/https://www.compass-group.com/en/media/news/2018/dominic-blakemore.html|archive-date=2 January 2018|url-status=live</ref>",,increase Pound sterling|£31.028 billion (2023)<ref name=results>cite web|url=https://www.compass-group.com/content/dam/compass-group/corporate/oar-2023/annual-report-2023.pdf|title=Annual Report 2023|publisher=Compass Group|access-date=11 February 2024</ref>,"562,460 (2023)<ref name=results/>",,,,
"Oneok, Inc.",Start date and age|1906,", ",unbulleted list|Pierce Norton (CEO)|Julie Edwards (Chairman),Natural Gas,nowrap|decrease US$|17.7 billion|link=yes (2023),"4,775 (2023)",url|oneok.com,,,
TDK Corporation,Start date and age|1935|12|07 as ''Tokyo Denki Kagaku Kōgyō K.K.'',", ",Noboru Saito (CEO (corporate title)|CEO),"Currently: Electronic components, Power supply|Power supplies, Sensors, Previously: Compact cassette|Cassettes, Compact disc|CDs, DVDs, Blu-ray Discs","profit United States dollar|US$13.56 billion, (2021)<ref name=""FY-March-2018"">cite web|url=https://www.global.tdk.com/ir/ir_library/financial/pdf/2018042700_6fce61bc.pdf |title=Financial Results for FY March 2018 |author=TDK Corporation |archive-url=https://web.archive.org/web/20181128075253/https://www.global.tdk.com/ir/ir_library/financial/pdf/2018042700_6fce61bc.pdf|archive-date=2018-11-28</ref>","102,883<ref name=""FY-March-2018"" />",,,,
Boston Scientific Corporation,,", ",unbulleted list|Michael F. Mahoney (Chairman and Chief executive officer|CEO) | Daniel Brennan (Chief financial officer|CFO),,"nowrap|increase US$|14.24 billion|link=yes (2023)Sfn|""Form 10K,"" December 31,|2023","circa|48,000Sfn|""Form 10K,"" December 31,|2023",URL|bostonscientific.com,,,
MTN Group Limited,,"Johannesburg, South Africa","ubl|Mcebisi Jonas, small|(Non-Executive chairman)|Serigne Dioum, small|(Chief Executive Officer|CEO)","GSM-related products , Internet service provider|Internet services","ubl|increaseSouth African rand|R179.361  billion (US$To USD|179.361|ZAF billion, 2020)|South African rand|R151.460 billion (US$To USD|151.460|ZAF billion, 2019)<ref name=""MTN 2020"" />",19288,URL|https://www.mtn.com,,,
Bajaj Finserv Limited,,", ",Sanjiv Bajaj (chairman & Managing Director),"ubl|Insurance |General insurance |Health insurance |Vehicle insurance |Travel insurance |Home insurance |Life insurance |Mortgage loans |Investment management | Asset management |Mutual funds |Credit cards<ref>cite web |title=Apply for Loans, EMI Finance, Credit Card and Insurance – Bajaj Finserv |url=http://www.bajajfinserv.in/ |website=bajajfinserv.in</ref>","increaseINRConvert|82072|c<ref name=""incomestate"">cite web |title=Bajaj Finserv Consolidated Profit & Loss account, Bajaj Finserv Financial Statement & Accounts |url=https://www.moneycontrol.com/financials/bajajfinserv/consolidated-profit-lossVI/BF04#BF04 |website=moneycontrol.com |language=en |access-date=11 December 2020 |archive-date=21 May 2023 |archive-url=https://web.archive.org/web/20230521170023/https://www.moneycontrol.com/financials/bajajfinserv/consolidated-profit-lossVI/BF04#BF04 |url-status=live </ref>",105 (2022)<ref>Cite web|title=Bajaj Finserv Company Overview|url=https://www.forbes.com/companies/bajaj-finserv/?sh=2285ca3c48e4|access-date=20 March 2023|website=Forbes.com|language=en</ref>,,,,
Fortive Corporation,Start date and age|2016,", ",Unbulleted list|Alan Spoon (chairman) |Jim Lico (President (corporate title)|president & Chief Executive Officer|CEO),,increase US$|6.07 billion|link=yes (2023),"circa|18,000 (2023)",URL|fortive.com,,,
"Lumen Technologies, Inc.",Start date and age|1930,", ",Kate Johnson (CEO),,decrease US$|17.48 billion|link=yes (2022),"circa|29,000 (December 2022)",URL|lumen.com,,,
"Tohoku Electric Power Co., Inc., 東北電力株式会社",,", ","Keiichi Makuta, Chairman, Hiroaki Takahashi, President",Electricity generation and transmission,"steady Japanese yen|JP¥1,708,732 million (Fiscal year|FY 2010)","12,484 (2010)",,,,
"EOG Resources, Inc.",Start date and age|1999,", ","nowrap| Ezra Y. Yacob (CEO & Director (business)|director), Timothy K. Driggers (CFO)",ubl|Petroleum|Natural gas|Natural gas liquids,<!-- Wikidata P2139 -->,"2,900 (2020)",URL|https://www.eogresources.com,,,
Pegatron Corporation,,", ",T.H. Tung (Chairman),"Motherboards, graphics cards, laptops, netbooks, smartphones, game consoles, set-top boxes, cable modems",decrease US$ 40.357 billion (2023)<ref name=Financials>cite web |title=Pegratron|url=https://fortune.com/company/pegatron/ |website=Fortune Global 500 |publisher=Fortune |access-date=2024-08-24</ref>,6000 (2013)<ref name=Financials />,,,,
Grupo Aval Acciones y Valores S.A.,,", ","Luis Carlos Sarmiento, <small>(Chairman)</small>","Financial services, Banking, Telecommunications, Real estate, Investing",profit United States dollar|US$ 6.8 billion <small>(2023)</small><ref>cite web|url=https://www.grupoaval.com/repositorio/grupoaval/inversionistas/mercados-externos/fomr-20-f/grupo-aval-acciones-y-valores-sa-20240416-20-F-EDGAR.pdf |title=SEC Form 20F - Grupo Aval|work=Forbes.com |date= |accessdate=2024-10-19</ref>,74036,,,,
CMS Energy Corporation,Start date and age|1886,", ",Garrick Rochow (President (corporate title)|President & CEO)<br>Rejji Hayes (Chief Financial Officer|CFO)<ref>cite web | url=http://cmsenergy.com/about-cms-energy/leadership/officers/ | title=Leadership | accessdate=9 July 2015 | archive-url=https://web.archive.org/web/20150710083808/http://cmsenergy.com/about-cms-energy/leadership/officers/ | archive-date=10 July 2015 | url-status=dead | df=dmy-all </ref>,ubl|Electricity|Natural gas,decrease US$|7.46 billion|link=yes (2023),"8,356 (2023)",url|cmsenergy.com,,,
"American Financial Group, Inc.",Start date and age|1872,", ","Carl Lindner Jr.|Carl H. Lindner, founder, S. Craig Lindner, CEO|co-CEO,, President (corporate title)|co-president and Board of directors|director, Carl H. Lindner III CEO|co-CEO,, President (corporate title)|co-president and Board of directors|director",Insurance,increase US$|7.04 billion|link=yes (2022)<ref name = Nasdaq>cite web|url=https://www.nasdaq.com/market-activity/stocks/afg/financials|title=AFG Financials|access-date=2023-10-10</ref>,"increase 6,900<ref name=""Fortune"">Cite web|url=https://fortune.com/company/american-financial-group/|title=American Financial Group|website=Fortune|access-date=2023-10-10</ref>",url|afginc.com,,,
"Abu Dhabi National Energy Company, PJSC",,", ",,,,"2,700 (2013)<ref>cite web|url=https://www.taqaglobal.com/sites/default/files/en-sustainable-development-report-2013.pdf|title=Creating a sustainable business|work=TAQA|access-date=February 19, 2020</ref>",,,,
"Techtronic Industries Company Limited ,  創科實業有限公司",,", ","ubl|Horst Julius Pudwill smaller|(chairman)<ref name=forbes/>|Stephan Horst Pudwill smaller|(vice chairman)<ref name=forbes/>|Steven Richman smaller|(chief executive officer and group executive director)<ref name=Board>cite web |last1= |first1= |work=TTI Group |date= |title=Board of Directors|url=https://www.ttigroup.com/cg/directors |access-date=August 9, 2024</ref>|Frank Chan smaller|(group chief financial officer and group executive director)<ref name=""TTI 2023 report""/>",ubl|Power tools<ref name=forbes/>Accessories<br>Hand tools<br>Outdoor power equipment<br>Floorcare and cleaning<br>,"US$13.7 billion smaller|(2023)<ref name=""TTI 2023 result""/>","49,778 smaller|(June 2024)<ref>cite web |last1= |first1= |work=TTI Group |date= |title=2024 Interim Results|url=https://www.ttigroup.com/sites/default/files/2024-08/Announcement_ir24.pdf |access-date=August 9, 2024</ref>",,,,
Fairfax Financial Holdings Limited,,", ",Prem Watsa|V. Prem Watsa (chairman & CEO),Insurance#Types of insurance|Property and casualty insurance,"loss US$19.794 Billion <small>(''Fiscal Year Ended 31 December 2020'')</small><ref name=AnnualR2020>cite web|title=Fairfax Financial Holdings Limited 2020 Annual Report|url=https://s1.q4cdn.com/579586326/files/doc_financials/2020/q4/WEBSITE-Fairfax-Financial%27s-2020-Annual-Report.pdf|website=Fairfax|accessdate=15 July 2021|date=31 December 2020|archive-date=July 22, 2021|archive-url=https://web.archive.org/web/20210722220625/https://s1.q4cdn.com/579586326/files/doc_financials/2020/q4/WEBSITE-Fairfax-Financial%27s-2020-Annual-Report.pdf|url-status=dead</ref>","44,000 (2019)",,,,
"Reinsurance Group of America, Incorporated (RGA)",,", ",Tony Cheng (CEO),"Life reinsurance, living benefits reinsurance, health reinsurance, underwriting, financial solutions","$18.6 billion (2023*) *As of December 31, 2023",4000<ref>Cite web|url=http://fortune.com/fortune500/reinsurance-group-of-america/|title = Reinsurance Group of America &#124, 2021 Fortune 500</ref>,,,
Weyerhaeuser Company,,", ",Devin Stockfish (Chief executive officer|CEO) <ref>cite web|url=http://investor.weyerhaeuser.com/2018-08-27-Weyerhaeuser-to-implement-leadership-succession-plan|title=WEYERHAEUSER TO IMPLEMENT LEADERSHIP SUCCESSION PLAN|publisher=Weyerhaeuser|date=2018-08-27|access-date=2019-07-17</ref>,Forest products,"nowrap|increase US$10.18 billion <small>(2022)</small><ref name=MT2022>cite web|url=https://www.macrotrends.net/stocks/charts/WY/weyerhaeuser/financial-statements|title=Weyerhaeuser Financials 2009 - 2022|website=macrotrends.net|date=February 6, 2023|access-date=February 6, 2023|archive-date=February 6, 2023|archive-url=https://web.archive.org/web/20230206055138/https://www.macrotrends.net/stocks/charts/WY/weyerhaeuser/financial-statements|url-status=live</ref>","nowrap|decrease 9,214 <small>(2022)</small><ref>cite web|url=https://www.macrotrends.net/stocks/charts/WY/weyerhaeuser/number-of-employees|title=Weyerhaeuser: Number of Employees 2010-2022|website=macrotrends.net|date=February 6, 2023|access-date=February 6, 2023|archive-date=February 6, 2023|archive-url=https://web.archive.org/web/20230206055648/https://www.macrotrends.net/stocks/charts/WY/weyerhaeuser/number-of-employees|url-status=live</ref>",,,,
Julius Baer Group Ltd.,,", ",ubl|Romeo Lacher (Chairman)|Nic Dreckmann (CEO)|Evie Kostakis (CFO)|Oliver Bartholet (CRO)|Yves Bonzon (CIO),"Private banking, wealth management",Decrease CHF|3.24 billion|link=yes|ISO=yes (2023),"Increase 7,425 (end 2023)",,,,
Eiffage S.A.,,", ","Jean-François Roverato <small>(Chairman)</small>,, Keir Gowan <small>(chief executive officer|CEO)</small>",Residential and infrastructure construction, electrical engineering and Industrial control system|process automation services, specialist metal construction,increase €21.83 billion (2023)<ref name=prelims>cite web |url=https://www.eiffage.com/files/live/sites/eiffagev2/files/Finance/R%C3%A9sultats/2023/Eiffage%20-%20Annual%20results%202023.pdf |title=Annual Results 2023 |access-date=28 February 2024 |publisher=Eiffage</ref>,"70,893 <small>(end 2010)</small><ref name=AR2010>cite web |url=http://www.eiffage.com/files/ecm_en/enrapport_activite_et_financier_bd2010.pdf |title=Eiffage - Activity Report 2010 |access-date=20 April 2017 |publisher=Eiffage |url-status=dead |archive-url=https://web.archive.org/web/20120514015810/http://www.eiffage.com/files/ecm_en/enrapport_activite_et_financier_bd2010.pdf |archive-date=14 May 2012</ref>",,
"GF Securities Co., Ltd.",,", ",Lin Chuanhui (Chairman),,Increase CNY|link=yes|38.86 billion (FY 2021),"Increase 13,174 (FY 2021)",,,,
American Airlines Group Inc.,Start date and age|2013|12|09,"Fort Worth, Texas, United States<ref name=""about"" />","Unbulleted list
   | Robert Isom (Chief executive officer|CEO)
   | Greg Smith (chairman)",,increase US$|52.8 billion|link=yes (2023),"132,100 (2023)",URL|aa.com,,,
Stora Enso Oyj,,", ","ill|Kari Jordan|fi|Kari Jordan (chair of the board),<ref name=bod/> Interlanguage link|Hans Sohlström|fi (chief executive officer|CEO)<ref>Cite web|url=https://www.storaenso.com/en/investors/governance/group-leadership-team|title=Group Leadership Team|website=www.storaenso.com|language=en|access-date=2020-02-18|archive-date=2020-02-18|archive-url=https://web.archive.org/web/20200218083452/https://www.storaenso.com/en/investors/governance/group-leadership-team|url-status=live</ref>","Packaging materials, biomaterials, wooden construction and paper<ref name=AR2021/>","decrease €9.396 billion (2023)<ref name=AR2023>Cite web|url=https://www.storaenso.com/-/media/documents/download-center/documents/annual-reports/2023/storaenso_annual_report_2023.pdf|title=Stora Enso Annual Report 2023, pages 4, 110, 135, 136 |access-date=24 June 2024</ref>","decrease 20,000 (2023)<ref name=AR2023/>",,,,
CP All Public Company Limited,,", ","Dhanin Chearavanont <small>(Chairman)</small><ref name=CPALL-AR2014 />RP|14
                     Korsak Chairasmisak <small>(Chairman of the Executive Committee)<ref name=CPALL-AR2014>cite web|title=CP All 2014 Annual Report|url=http://www.cpall.co.th/annualreport2014/book-en/book.html#p=4|website=CP All|accessdate=26 December 2015|archive-url=https://web.archive.org/web/20151227130823/http://www.cpall.co.th/annualreport2014/book-en/book.html#p=4|archive-date=27 December 2015|url-status=dead</ref>RP|19</small>",,"480 billion Thai baht|baht small|(est 2017)<ref name=""BP-20180131"" />","35,557 small|(2012)<ref name=CPALL-AR2012 />RP|50",,,,
Quest Diagnostics Incorporated,"Start date and age|1967, in New York City, New York, U.S.",", ","Jim Davis (Chief executive officer|CEO)<ref>Cite web |url=https://ir.questdiagnostics.com/governance/management-team/default.aspx |title=Quest Diagnostics - Governance - Management Team |publisher=Quest Diagnostics Investor Relations 
 |access-date=January 17, 2023self published source|date=January 2023</ref>",,decrease US$|9.25 billion|link=yes (2023),"48,000 (2023)",URL|https://questdiagnostics.com,,,
Suncorp Group Limited,start date|1996,", ","Christine McLoughlin (Chairman), Steve Johnston, (Chief executive officer|CEO)",,profit Australian dollar|A$14.99 billion,"~14,500<ref>cite web |title=Directors Report and Financial Statements 2015 |url=http://www.suncorpgroup.com.au/sites/default/files/pdf/reports/SGL_2014_2015_DirectorsReportAndFinancialStatements_6.pdf |website=Suncorp Group |access-date=26 December 2015</ref>",URL|suncorpgroup.com.au/,,,
"Kyushu Electric Power Co., Inc.",1 May 1951,", Japan",,,,,URL|http://www.kyuden.co.jp/en_index.html|www.kyuden.co.jp,,,
Skanska AB,,", ","Anders Danielsson <small>(President and chief executive officer|CEO)</small><ref name=""SkanskaManagement"">cite web |url=http://group.skanska.com/corporate-governance/management/ |title=Management, Senior Executive Team (SET) |date=15 April 2016 |access-date=10 July 2016 |publisher=Skanska</ref>, Hans Biörck <small>(Chairman)</small><ref name=""SkanskaBoard"">cite web |url=http://group.skanska.com/corporate-governance/board/ |title=Board |date=15 April 2016 |access-date=10 July 2016 |publisher=Skanska</ref>","House|Residential development, commercial real estate development|property development and infrastructure development","Swedish krona|SEK 172.846 1,000,000,000|billion <small>(2019)</small><ref name=""AR2019"">cite web |url=https://group.skanska.com/496a54/siteassets/investors/reports-publications/annual-reports/2019/annual-and-sustainability-report-2019.pdf |title=Annual Report 2019 |year=2020 |access-date=14 July 2017 |publisher=Skanska</ref>","decrease 33,585 <small>(May 2020)</small><ref>cite web|url=https://www.forbes.com/companies/skanska/?sh=73caf36a7287|title=Skanska|work=Forbes|access-date=22 January 2021</ref>",,,,
China Aoyuan Group,,", ",Chairman: Mr. Guo Ziwen,,,,,,,
"Secom Co., Ltd.",,", ",,,,,,,,
DELTA,"Start date and age|1971|4|4, Nowrap|Reorganized on 20 August 1975","RueyKuang Road 186, Neihu District, Taipei (Business)
Xingbang Road 1 31, Guishan District, Taoyuan, Taiwan|Taoyuan, Taiwan","Bruce CH Cheng <small>(Hon. Chairman)</small>, Nowrap|Hai Ying Jun ""Yancey"" <small>(Chairman)</small>, Cheng Ping <small>(CEO)</small>",hlist|data center infrastructure|electronic components|embedded power supplies|thermal fan management|capital communications components|industrial automation|telecom power systems|uninterrupted power systems|renewable energy|vehicle electronics|electric vehicle charging equipment|networking Products|video and imaging Systems|LED lighting|medical devices|Innergie Consumer Power Products|Vivitek HD Projectors|Eltek Power Systems|Delta Controls building automation,increase US$|13.07&nbsp,billion|link=yes (2023),"increase 83,000 (2023)",,,
Hormel Foods Corporation,Start date and age|1891,", ","James Snee<ref name=simplywall>cite web |url=https://simplywall.st/stocks/us/food-beverage-tobacco/nyse-hrl/hormel-foods/news/heres-what-we-think-about-hormel-foods-corporations-nysehrl-ceo-pay/ |title=Here's What We Think About Hormel Foods Corporation's (NYSE:HRL) CEO Pay |last=Wall St |first=Simply |date=January 26, 2020 |website=Simply Wall Street |publisher=Simply Wall Street Pty Ltd |access-date=March 9, 2020 |quote=Jim Snee became the CEO of Hormel Foods Corporation (NYSE:HRL) in 2016. |archive-date=January 29, 2020 |archive-url=https://web.archive.org/web/20200129014206/https://simplywall.st/stocks/us/food-beverage-tobacco/nyse-hrl/hormel-foods/news/heres-what-we-think-about-hormel-foods-corporations-nysehrl-ceo-pay/ |url-status=live </ref> (Chairman, President and CEO)","Deli meat, ethnic foods, pantry foods, Spam (food)|Spam",nowrap|decrease US$|9.497 billion|link=yes (2019)<ref name=fyn/>,"20,000 (2019)<ref>cite web |title=How many people work for Hormel Foods? |url=https://www.hormelfoods.com/ask-and-answer/how-many-people-work-for-hormel-foods/ |website=Hormel Foods |access-date=December 26, 2019 |archive-date=December 26, 2019 |archive-url=https://web.archive.org/web/20191226204255/https://www.hormelfoods.com/ask-and-answer/how-many-people-work-for-hormel-foods/ |url-status=live </ref>",,,,
Southwest Airlines,"start date and age|1967|03|9, (as ''Air Southwest'')",", ","unbulleted indent list|
  | Bob Jordan (businessman)|Bob Jordan (President (corporate title)|President and Chief executive officer|CEO)
  | Rakesh Gangwal (Chair (officer)|Chair of the Board)",,"increase US$|26.1 billion|link=yes (2023)<ref name=""financial_results"">Cite web |url=https://www.sec.gov/ix?doc=/Archives/edgar/data/92380/000009238024000027/luv-20231231.htm |title=Southwest Airlines 2023 Annual Report (Form 10-K) |date=February 6, 2024 |access-date=March 18, 2024 |publisher=U.S. Securities and Exchange Commission</ref>","74,806 (2023)<ref name=financial_results />",URL|southwest.com,,,
Charoen Pokphand Foods Public Company Limited<br/>บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),,", ",Adirek Sripratak <small>(CEO)</small>,"Animal Feed, Breeder|Animal Breeder,, Food|Meat and Food","501,507 million baht (2017)",126341,,,,
OJSC Novolipetsk Steel,,", ","Vladimir Lisin (Chairman), Sergey Karataev (President, Chairman of the Management Board)","Steel ,  Steel products",wikidata revenue|revenue|numwikidata revenue|revenue|ref,"60,200 (2013)",,,,
ZTE Corporation,,", ",Li Zixue (Chairman and Executive Director)<ref>Cite web |title=Li Zixue |url=https://www.zte.com.cn/content/zte-site/www-zte-com-cn/global/about/corporate_information/leader_lizixue |access-date=2023-10-13 |website=www.zte.com.cn |language=en</ref><br> Xu Ziyang (Executive Director and CEO)<ref>Cite web |title=Xu Ziyang |url=https://www.zte.com.cn/content/zte-site/www-zte-com-cn/global/about/corporate_information/leader_xuziyang |access-date=2023-10-13 |website=www.zte.com.cn |language=en</ref>,"Mobile phones, smartphones, tablet computers, hardware, computer software|software, all series of wireless, wireline, services, devices and professional telecommunications services and services to telecommunications service providers and enterprises<ref>Cite web |title=Company Introduction |url=https://www.zte.com.cn/content/zte-site/www-zte-com-cn/global/about/corporate_information/company_introduction |access-date=2023-10-13 |website=www.zte.com.cn |language=en</ref>","increase CNY|122.95&nbsp;1,000,000,000|billion|link=yes / US $17.68 billion<ref>Cite web |last=Tomás |first=Juan Pedro |date=2023-03-10 |title=ZTE's 2022 revenues up 7.4% year-on-year |url=https://www.rcrwireless.com/20230310/network-infrastructure/zte-2022-revenues-up-7-year-on-year |access-date=2023-10-13 |website=RCR Wireless News |language=en-US |archive-date=12 November 2023 |archive-url=https://web.archive.org/web/20231112064313/https://www.rcrwireless.com/20230310/network-infrastructure/zte-2022-revenues-up-7-year-on-year |url-status=live </ref>","74,811<ref name="":AN2022"">Cite web |title=ZTE - Annual Report 2022 |url=https://www.zte.com.cn/content/dam/zte-site/res-www-zte-com-cn/mediares/zte/investor/en_annual_report/20230315.pdf |access-date=14 October 2023 |website=www.zte.com.cn |archive-date=13 October 2023 |archive-url=https://web.archive.org/web/20231013231604/https://www.zte.com.cn/content/dam/zte-site/res-www-zte-com-cn/mediares/zte/investor/en_annual_report/20230315.pdf |url-status=live </ref>",,,,
"Naver Co., Ltd.","start date and age|1999|<ref name=""official-company-stats"">Cite web |title=NAVER Company |url=https://www.navercorp.com/en/naver/company |access-date=2023-07-19 |website=navercorp.com |language=ko |archive-date=2023-07-25 |archive-url=https://web.archive.org/web/20230725224319/https://navercorp.com/en/naver/company |url-status=live </ref>","Seongnam-si, ",,,,,URL|naver.com,,,
Pinduoduo Inc.,Start date and age|2015,"Shanghai, China",Lei Chen<ref>Cite news |last=Bera |first=Ayanti |date=1 July 2020 |title=China's Pinduoduo appoints Lei Chen as chief executive officer |url=https://www.reuters.com/article/us-pinduoduo-moves-lei-chen/chinas-pinduoduo-appoints-lei-chen-as-chief-executive-officer-idUSKBN2425FR |url-status=live |archive-url=https://web.archive.org/web/20200701105953/https://www.reuters.com/article/us-pinduoduo-moves-lei-chen/chinas-pinduoduo-appoints-lei-chen-as-chief-executive-officer-idUSKBN2425FR |archive-date=1 July 2020 |access-date=6 July 2020 |work=Reuters |language=en</ref>,ubl|E-commerce|Agriculture,"increase US$ 34,981 million (2023)<ref name=Financials>cite web |title=PDD Holdings |url=https://fortune.com/company/pinduoduo/ |website=Fortune GLobal 500 |publisher=Fortune |access-date=2024-08-24 |archive-date=2024-06-12 |archive-url=https://web.archive.org/web/20240612000750/https://fortune.com/company/pinduoduo/ |url-status=live </ref>","17,403 (2023)<ref name=Financials />",Official URL,,,
Guosen Securities,,", ",He Ru (Chairman),"Brokerage, Asset Management, Investment Banking, Private Equity, investment management","RMB 7.8 billion (2010)<ref name=""bloomberg.com"">Bloomberg News, Retrieved 25 July 2011 [https://www.bloomberg.com/news/2011-07-25/top-china-ipo-underwriter-guosen-doubles-staff-at-hong-kong-arm.html/ Top China IPO Arranger Guosen Challenges Goldman With Hong Kong Expansion]</ref>",11500,,,,
"Marriott International, Inc.","Start date and age|1927|3|5 in Washington, D.C., U.S. (as Marriott Corporation)",", ",ubl|David Marriott (chairman)|Anthony Capuano (Chief executive officer|CEO),ubl|Hotels|Resorts,increase US$|23.7 billion|link=yes (2023),"411,000 (2023)",Official URL,,,
Snam S.p.A.,,", ","Monica de Virgiliis <small>(Chairman)</small><ref name=""Borsa Italiana Website"">cite web |url=https://www.borsaitaliana.it/borsa/notizie/radiocor/finanza/dettaglio/snam-ok-conti-2021-e-rinnovo-cda-con-monica-de-virgiliis-presidente-nRC_27042022_1233_330157665.html?lang=it |title=Borsa Italiana Website |access-date= 27 April 2022</ref>
<br/>Stefano Venier <small>(chief executive officer|CEO)</small><ref name=""Borsa Italiana Website"">cite web |url=https://www.borsaitaliana.it/borsa/notizie/radiocor/finanza/dettaglio/snam-ok-conti-2021-e-rinnovo-cda-con-monica-de-virgiliis-presidente-nRC_27042022_1233_330157665.html?lang=it |title=Borsa Italiana Website |access-date= 27 April 2022</ref>",,"€3,875 million <small>(2023)</small><ref name=""1-90-snam.it-cit"">cite web|url=https://www.snam.it/content/dam/snam/pages-attachments-search/en/documenti/bilanci-annuali/2023/annual_report_2023.pdf|title=Snam - Annual Report 2023</ref>","3,798 <small>(2023)</small><ref name=""1-90-snam.it-cit""/>",,,,
OTP Bank Nyrt.,,", ","ubl|Sándor Csányi (banker)|Sándor Csányi , small|(Chairman & CEO)","Retail banking|Consumer banking, Commercial bank|corporate banking, credit cards, Financial services|finance and insurance, foreign currency exchange, investment banking, mortgage loans, private banking, private equity, wealth management","Increase Hungarian Forint|HUF 624.7&nbsp;billion (2018)<ref name=""ar2018"">cite web |title=Financial Statements |url=https://www.otpbank.hu/static/portal/sw/file/Annual_Report_2018_4.pdf |website=OTP Bank |access-date=8 November 2019</ref>","41,128 (2018)<ref name=""ar2018""/>",,,,
"IQVIA Holdings, Inc.",,", ","Ari Bousbib, (Chairman & CEO)","Strategy & Operation Consulting, Support services for pharmaceutical, biotech and medical companies and individuals",Increase USD|15.4 billion|link=yes (2023)<ref>cite web | url=https://www.iqvia.com/newsroom/2023/04/iqvia-reports-first-quarter-2023-results-reaffirms-full-year-2023-guidance | title=IQVIA Reports First-Quarter 2023 Results, Reaffirms Full-Year 2023 Guidance </ref>,"circa|86,000<ref>cite web | url=https://www.macrotrends.net/stocks/charts/IQV/iqvia-holdings/number-of-employees#:~:text=Interactive%20chart%20of%20IQVIA%20Holdings,increase%20from%202019 | title=IQVIA Holdings: Number of Employees 2011-2023 &#124; IQV </ref>",URL|iqvia.com,,
Viatris Inc.,Start date and age|2020|11|16,"Canonsburg, Pennsylvania, U.S.","plainlist|
* Scott A. Smith (Chief executive officer|CEO)","flatlist|
* Medication|Medicines
* generic drugs
* biosimilars
* active ingredient|active pharmaceutical ingredients",decrease US$|15.39 billion|link=yes (2023),"circa|38,000 (2023)",URL|viatris.com,,,
Cintas Corporation,Start date and age|1929 (as Acme Industrial Laundry Company),"Mason, Ohio, U.S.","plainlist|
* Todd Schneider (Chief executive officer|CEO)<ref>cite web|url=https://www.bloomberg.com/profile/person/18080068|title=Todd M Schneider|publisher=Bloomberg</ref>
* Scott D. Farmer (executive chairman)<ref>cite web|url=https://www.bloomberg.com/profile/person/1477485|title=Scott D Farmer|publisher=Bloomberg</ref>
* Mike Thompson (Chief administrative officer|CAO)<ref>cite web|url=https://theorg.com/org/cintas/team/mike-thompson|title=Michael L. Thompson|publisher=The Org</ref>",,increase US$|9.59 billion|link=yes (2024),46500,URL|https://cintas.com,,,
Kajima Corporation,,", ","Morinosuke Kajima (Chairman (1957-1975)), Rokuro Ishikawa (Chairman (1983 -1993) and Honorary Chairman)",,"profit $ 15.798 billion US dollar|USD (Fiscal year|FY 2012)
                   (¥  1485.01 billion Japanese yen|JPY) (Fiscal year|FY 2012)","unbulleted list|7,737 (non-consolidated)|15,468 (consolidated) (as of March 31, 2013)",,,,
SM Investments Corporation,"start date and age|1958, in , Manila, Philippines<ref>Cite web|url=http://sminvestments.com/our-history|archive-url=https://web.archive.org/web/20160808123926/http://sminvestments.com/our-history|archive-date=August 8, 2016|title=SMIC</ref>",", ","Jose Sio (chairman emeritus), Amando Tetangco Jr. (chairman of the board), Teresita Sy-Coson (vice chairperson of the board) Henry Sy Jr. (vice chairman of the board)<br>Frederick Dy Buncio (president and CEO)",,,,,,,
Ecolab Inc.,Start date and age|1923,", ",Christophe Beck (CEO),,increase US$|15.3 billion|link=yes (2023),"48,000 (2023)",url|ecolab.com,,,
